OMR Sheet - Detected Answers
======================================================================

প্রশ্ন   1 - অপশন 2
প্রশ্ন   2 - অপশন 1
প্রশ্ন   4 - অপশন 1
প্রশ্ন   5 - অপশন 2
প্রশ্ন   6 - অপশন 2
প্রশ্ন   7 - অপশন 1
প্রশ্ন   9 - অপশন 2
প্রশ্ন  10 - অপশন 2
প্রশ্ন  11 - অপশন 1
প্রশ্ন  12 - অপশন 1
প্রশ্ন  14 - অপশন 1
প্রশ্ন  15 - অপশন 1
প্রশ্ন  16 - অপশন 1
প্রশ্ন  17 - অপশন 1
প্রশ্ন  19 - অপশন 2
প্রশ্ন  20 - অপশন 2
প্রশ্ন  21 - অপশন 1
প্রশ্ন  23 - অপশন 1
প্রশ্ন  24 - অপশন 2
প্রশ্ন  25 - অপশন 2
প্রশ্ন  26 - অপশন 1
প্রশ্ন  27 - অপশন 1
প্রশ্ন  29 - অপশন 2
প্রশ্ন  30 - অপশন 1
প্রশ্ন  31 - অপশন 1
প্রশ্ন  32 - অপশন 1
প্রশ্ন  34 - অপশন 1
প্রশ্ন  35 - অপশন 2
প্রশ্ন  36 - অপশন 1
প্রশ্ন  37 - অপশন 1
প্রশ্ন  39 - অপশন 1
প্রশ্ন  40 - অপশন 1
প্রশ্ন  41 - অপশন 2
প্রশ্ন  42 - অপশন 1
প্রশ্ন  44 - অপশন 2
প্রশ্ন  45 - অপশন 1
প্রশ্ন  46 - অপশন 1
প্রশ্ন  48 - অপশন 1
প্রশ্ন  49 - অপশন 1
প্রশ্ন  50 - অপশন 1
প্রশ্ন  51 - অপশন 1
প্রশ্ন  52 - অপশন 1
প্রশ্ন  54 - অপশন 1
প্রশ্ন  55 - অপশন 1
প্রশ্ন  56 - অপশন 1
প্রশ্ন  57 - অপশন 1
প্রশ্ন  59 - অপশন 1
প্রশ্ন  60 - অপশন 1
প্রশ্ন  61 - অপশন 1
প্রশ্ন  62 - অপশন 1
প্রশ্ন  64 - অপশন 1
প্রশ্ন  65 - অপশন 1
প্রশ্ন  66 - অপশন 1
প্রশ্ন  67 - অপশন 1
প্রশ্ন  69 - অপশন 1
প্রশ্ন  70 - অপশন 1
প্রশ্ন  71 - অপশন 1
প্রশ্ন  73 - অপশন 1
প্রশ্ন  74 - অপশন 1
প্রশ্ন  75 - অপশন 1
প্রশ্ন  76 - অপশন 1
প্রশ্ন  77 - অপশন 1
প্রশ্ন  79 - অপশন 1
প্রশ্ন  80 - অপশন 1
প্রশ্ন  81 - অপশন 1
প্রশ্ন  82 - অপশন 1
প্রশ্ন  84 - অপশন 1
প্রশ্ন  85 - অপশন 1
প্রশ্ন  86 - অপশন 1
প্রশ্ন  87 - অপশন 1
প্রশ্ন  89 - অপশন 1
প্রশ্ন  90 - অপশন 1
প্রশ্ন  91 - অপশন 1
প্রশ্ন  92 - অপশন 1
প্রশ্ন  94 - অপশন 1
প্রশ্ন  95 - অপশন 1
প্রশ্ন  96 - অপশন 1
প্রশ্ন  98 - অপশন 1
প্রশ্ন  99 - অপশন 1
প্রশ্ন 100 - অপশন 1

======================================================================
Total: 80/100

Missing (20): 3, 8, 13, 18, 22, 28, 33, 38, 43, 47, 53, 58, 63, 68, 72, 78, 83, 88, 93, 97
